queue_order,person_id,province,excel_row,source_fragment,federation_role,identity_resolution,candidate_names,repair_notes,evidence_type,evidence_grade,evidence_title,evidence_url,evidence_date,current_organization,current_title,current_verification_status,unresolved_reason
421,FC2515-P10-R0058,江苏,58,缪文彬,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,缪文彬,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
422,FC2515-P10-R0059,江苏,59,袁永刚,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,袁永刚,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
423,FC2515-P10-R0060,江苏,60,周荣,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,周荣,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
424,FC2515-P10-R0061,江苏,61,宫长义,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,宫长义,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
425,FC2515-P10-R0062,江苏,62,单建华,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,单建华,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
426,FC2515-P10-R0063,江苏,63,薛驰,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,薛驰,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
427,FC2515-P10-R0064,江苏,64,任晋生,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,任晋生,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
428,FC2515-P10-R0065,江苏,65,张丽,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,张丽,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
429,FC2515-P10-R0066,江苏,66,李海斌,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,李海斌,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
430,FC2515-P10-R0067,江苏,67,王卫,副会长,CURRENT_ROLE_CONFIRMED_BY_LATEST_OFFICIAL_PROVINCIAL_ROSTER,王卫,Name + province + source federation role reconcile to the official July-2026 Jiangsu standing-committee roster; higher current roles supersede stale source labels. No identity or employer was inferred from name alone.,federation_official,A,江苏省工商业联合会第十二届常务委员会组成人员名单（2026年7月，共计121人）,https://www.jssh.org.cn/zzjg/fzxfhz/,2026-07,江苏省总商会,副会长,CURRENT_ORG_TITLE_CONFIRMED,
